time,latitude,longitude,altitude,vn,ve,hdop,satellites
60172.000,33.709620,73.091289,515.100,0.000,0.000,4.560,5
60173.000,33.709621,73.091289,515.200,0.000,0.000,4.560,5
60174.000,33.709621,73.091289,515.100,0.000,0.000,4.560,5
60175.000,33.709622,73.091288,514.800,0.000,0.000,4.560,5
60176.000,33.709621,73.091288,514.700,0.000,0.000,4.560,5
60177.000,33.709622,73.091287,514.400,0.000,0.000,4.560,5
60178.000,33.709622,73.091287,514.200,0.000,0.000,4.560,5
60179.000,33.709622,73.091288,514.300,0.000,0.000,4.560,5
60180.000,33.709621,73.091288,514.300,0.000,0.000,4.560,5
60181.000,33.709622,73.091287,514.200,0.000,0.000,4.560,5
60182.000,33.709623,73.091286,513.800,0.000,0.000,4.560,5
60183.000,33.709623,73.091286,513.700,0.000,0.000,6.630,4
60184.000,33.709623,73.091286,513.700,0.000,0.000,6.630,4
60185.000,33.709623,73.091286,513.700,0.000,0.000,6.640,4
60186.000,33.709622,73.091286,513.700,0.000,0.000,6.640,4
60187.000,33.709622,73.091286,513.700,0.000,0.000,6.640,4
60188.000,33.709622,73.091286,513.600,0.000,0.000,6.650,4
60189.000,33.709622,73.091286,513.700,0.000,0.000,6.650,4
60190.000,33.709623,73.091284,512.800,0.000,0.000,4.570,5
60191.000,33.709624,73.091283,512.200,0.000,0.000,4.570,5
60192.000,33.709625,73.091281,511.200,0.000,0.000,4.570,5
60193.000,33.709627,73.091279,510.300,0.000,0.000,4.570,5
60194.000,33.709630,73.091276,508.500,0.000,0.000,4.570,5
60195.000,33.709632,73.091272,507.000,0.000,0.000,4.570,5
60196.000,33.709634,73.091269,505.900,0.000,0.000,4.570,5
60197.000,33.709636,73.091267,504.800,0.000,0.000,4.570,5
60198.000,33.709637,73.091265,503.600,0.000,0.000,4.570,5
60199.000,33.709640,73.091262,502.700,0.000,0.000,4.570,5
60200.000,33.709642,73.091260,501.600,0.000,0.000,4.570,5
60201.000,33.709643,73.091258,500.700,0.000,0.000,4.570,5
60202.000,33.709643,73.091257,499.900,0.000,0.000,4.570,5
60203.000,33.709646,73.091255,498.900,0.000,0.000,4.570,5
60204.000,33.709647,73.091253,498.200,0.000,0.000,4.570,5
60205.000,33.709649,73.091250,497.500,0.000,0.000,4.570,5
60206.000,33.709651,73.091249,496.800,0.000,0.000,4.570,5
60207.000,33.709651,73.091248,496.500,0.000,0.000,4.570,5
60208.000,33.709652,73.091248,496.400,0.000,0.000,4.570,5
60209.000,33.709652,73.091248,496.200,0.000,0.000,4.570,5
60210.000,33.709653,73.091247,496.100,0.000,0.000,4.570,5
60211.000,33.709654,73.091245,495.800,0.000,0.000,4.570,5
60212.000,33.709655,73.091244,495.500,0.000,0.000,4.570,5
60213.000,33.709656,73.091244,495.300,0.000,0.000,4.570,5
60214.000,33.709656,73.091244,495.200,0.000,0.000,4.570,5
60215.000,33.709656,73.091244,495.200,0.000,0.000,4.570,5
60216.000,33.709656,73.091244,494.900,0.000,0.000,4.580,5
60217.000,33.709655,73.091245,494.700,0.000,0.000,4.580,5
60218.000,33.709656,73.091244,494.500,0.000,0.000,4.580,5
60219.000,33.709657,73.091243,494.300,0.000,0.000,4.580,5
60220.000,33.709658,73.091242,494.000,0.000,0.000,4.580,5
60221.000,33.709659,73.091242,493.500,0.000,0.000,4.580,5
60222.000,33.709659,73.091241,493.300,0.000,0.000,4.580,5
60223.000,33.709659,73.091241,493.200,0.000,0.000,4.580,5
60224.000,33.709659,73.091241,493.000,0.000,0.000,4.580,5
60225.000,33.709659,73.091241,492.900,0.000,0.000,4.580,5
60226.000,33.709660,73.091241,492.800,0.000,0.000,4.580,5
60227.000,33.709659,73.091241,492.700,0.000,0.000,4.580,5
60228.000,33.709660,73.091240,492.500,0.000,0.000,4.580,5
60229.000,33.709660,73.091240,492.300,0.000,0.000,4.580,5
60230.000,33.709661,73.091240,492.300,0.000,0.000,4.580,5
60231.000,33.709661,73.091240,492.300,0.000,0.000,4.580,5
60232.000,33.709662,73.091241,492.400,0.000,0.000,4.580,5
60233.000,33.709661,73.091241,492.600,0.000,0.000,4.580,5
60234.000,33.709661,73.091241,492.700,0.000,0.000,4.580,5
60235.000,33.709661,73.091242,492.800,0.000,0.000,4.580,5
60236.000,33.709661,73.091242,492.900,0.000,0.000,4.580,5
60237.000,33.709661,73.091242,493.000,0.000,0.000,4.580,5
60238.000,33.709661,73.091243,493.100,0.000,0.000,4.580,5
60239.000,33.709661,73.091244,493.300,0.000,0.000,4.580,5
60240.000,33.709661,73.091244,493.300,0.000,0.000,4.580,5
60241.000,33.709662,73.091244,493.300,0.000,0.000,4.580,5
60242.000,33.709662,73.091244,493.300,0.000,0.000,4.580,5
60243.000,33.709662,73.091244,493.400,0.000,0.000,4.580,5
60244.000,33.709662,73.091244,493.600,0.000,0.000,4.590,5
60245.000,33.709663,73.091244,493.800,0.000,0.000,4.590,5
60246.000,33.709662,73.091244,494.000,0.000,0.000,4.590,5
60247.000,33.709663,73.091244,494.100,0.000,0.000,4.590,5
60248.000,33.709663,73.091244,494.300,0.000,0.000,4.590,5
60249.000,33.709664,73.091244,494.300,0.000,0.000,4.590,5
60250.000,33.709665,73.091244,494.400,0.000,0.000,4.590,5
60251.000,33.709665,73.091244,494.500,0.000,0.000,4.590,5
60252.000,33.709666,73.091244,494.600,0.000,0.000,4.590,5
60253.000,33.709667,73.091243,494.700,0.000,0.000,4.590,5
60254.000,33.709667,73.091244,495.100,0.000,0.000,4.590,5
60255.000,33.709667,73.091244,495.400,0.000,0.000,4.590,5
60256.000,33.709667,73.091244,495.600,0.000,0.000,4.590,5
60257.000,33.709666,73.091245,496.100,0.000,0.000,4.590,5
60258.000,33.709666,73.091246,496.400,0.000,0.000,4.590,5
60259.000,33.709666,73.091246,496.600,0.000,0.000,4.590,5
60260.000,33.709666,73.091246,496.800,0.000,0.000,4.590,5
60261.000,33.709665,73.091247,497.000,0.000,0.000,4.590,5
60262.000,33.709665,73.091247,497.300,0.000,0.000,4.590,5
60263.000,33.709665,73.091248,497.500,0.000,0.000,4.590,5
60264.000,33.709664,73.091248,497.600,0.000,0.000,4.590,5
60265.000,33.709664,73.091248,497.700,0.000,0.000,4.590,5
60266.000,33.709664,73.091249,497.800,0.000,0.000,4.590,5
60267.000,33.709663,73.091249,498.000,0.000,0.000,4.590,5
60268.000,33.709663,73.091250,498.100,0.000,0.000,4.590,5
60269.000,33.709663,73.091250,498.200,0.000,0.000,4.590,5
60270.000,33.709663,73.091250,498.300,0.000,0.000,4.590,5
60271.000,33.709663,73.091250,498.500,0.000,0.000,4.590,5
60272.000,33.709662,73.091250,498.600,0.000,0.000,4.600,5
60273.000,33.709661,73.091251,498.800,0.000,0.000,4.600,5
60274.000,33.709661,73.091251,499.100,0.000,0.000,4.600,5
60275.000,33.709661,73.091252,499.300,0.000,0.000,4.600,5
60276.000,33.709661,73.091252,499.500,0.000,0.000,4.600,5
60277.000,33.709660,73.091253,499.700,0.000,0.000,4.600,5
60278.000,33.709659,73.091253,499.800,0.000,0.000,4.600,5
60279.000,33.709659,73.091253,500.000,0.000,0.000,4.600,5
60280.000,33.709659,73.091253,500.200,0.000,0.000,4.600,5
60281.000,33.709658,73.091253,500.400,0.000,0.000,4.600,5
60282.000,33.709658,73.091253,500.600,0.000,0.000,4.600,5
60283.000,33.709658,73.091254,500.800,0.000,0.000,4.600,5
60284.000,33.709657,73.091254,501.100,0.000,0.000,4.600,5
60285.000,33.709657,73.091255,501.200,0.000,0.000,4.600,5
60286.000,33.709657,73.091255,501.500,0.000,0.000,4.600,5
60287.000,33.709656,73.091255,501.700,0.000,0.000,4.600,5
60288.000,33.709656,73.091256,501.800,0.000,0.000,4.600,5
60289.000,33.709656,73.091256,502.100,0.000,0.000,4.600,5
60290.000,33.709656,73.091256,502.200,0.000,0.000,4.600,5
60291.000,33.709656,73.091256,502.400,0.000,0.000,4.600,5
60292.000,33.709656,73.091256,502.600,0.000,0.000,4.600,5
60293.000,33.709655,73.091257,502.900,0.000,0.000,4.600,5
60294.000,33.709655,73.091257,503.100,0.000,0.000,4.600,5
60295.000,33.709654,73.091257,503.400,0.000,0.000,4.600,5
60296.000,33.709653,73.091257,503.600,0.000,0.000,4.600,5
60297.000,33.709653,73.091258,503.900,0.000,0.000,4.600,5
60298.000,33.709652,73.091259,504.200,0.000,0.000,4.600,5
60299.000,33.709652,73.091259,504.500,0.000,0.000,4.600,5
60300.000,33.709651,73.091259,504.800,0.000,0.000,4.600,5
60301.000,33.709651,73.091259,505.100,0.000,0.000,4.600,5
60302.000,33.709652,73.091259,505.300,0.000,0.000,4.610,5
60303.000,33.709652,73.091259,505.400,0.000,0.000,4.610,5
60304.000,33.709652,73.091259,505.500,0.000,0.000,4.610,5
60305.000,33.709651,73.091260,505.600,0.000,0.000,4.610,5
60306.000,33.709650,73.091261,505.800,0.000,0.000,4.610,5
60307.000,33.709649,73.091261,505.900,0.000,0.000,4.610,5
60308.000,33.709648,73.091262,506.100,0.000,0.000,4.610,5
60309.000,33.709647,73.091263,506.400,0.000,0.000,4.610,5
60310.000,33.709647,73.091263,506.500,0.000,0.000,4.610,5
60311.000,33.709647,73.091263,506.700,0.000,0.000,4.610,5
