time,ax,ay,az,wx,wy,wz
37030.015,0.020,-0.010,-1.051,4.670,-1.206,-0.992
37030.022,0.023,-0.015,-1.051,4.578,-1.053,-0.992
37030.029,0.017,-0.012,-1.051,4.670,-1.251,-0.931
37030.036,0.017,-0.014,-1.049,4.715,-1.221,-0.931
37030.043,0.021,-0.010,-1.049,4.547,-1.343,-0.916
37030.051,0.022,-0.010,-1.047,4.563,-1.221,-1.038
37030.058,0.020,-0.013,-1.043,4.517,-1.160,-0.885
37030.065,0.022,-0.010,-1.037,4.639,-1.251,-0.824
37030.072,0.022,-0.013,-1.051,4.685,-1.282,-0.885
37030.079,0.023,-0.015,-1.053,4.609,-1.190,-0.824
37030.086,0.017,-0.012,-1.044,4.563,-1.404,-0.855
37030.094,0.018,-0.014,-1.051,4.685,-1.206,-0.885
37030.101,0.016,-0.010,-1.055,4.609,-1.404,-0.885
37030.108,0.018,-0.009,-1.050,4.639,-1.038,-0.946
37030.115,0.016,-0.011,-1.042,4.456,-1.282,-0.977
37030.122,0.019,-0.013,-1.044,4.654,-1.068,-0.946
37030.130,0.019,-0.013,-1.045,4.563,-1.312,-0.885
37030.137,0.016,-0.014,-1.046,4.547,-1.328,-0.977
37030.144,0.018,-0.012,-1.048,4.532,-1.282,-0.916
37030.166,0.020,-0.014,-1.047,4.654,-1.160,-0.931
37030.174,0.020,-0.013,-1.049,4.517,-1.206,-0.961
37030.181,0.021,-0.017,-1.043,4.578,-1.236,-0.885
37030.188,0.023,-0.012,-1.045,4.517,-1.251,-1.038
37030.195,0.017,-0.012,-1.048,4.624,-1.236,-0.855
37030.202,0.015,-0.013,-1.046,4.486,-1.251,-0.931
37030.210,0.019,-0.012,-1.048,4.578,-1.145,-1.053
37030.217,0.017,-0.013,-1.050,4.486,-1.175,-0.946
37030.224,0.017,-0.014,-1.048,4.578,-1.343,-0.900
37030.231,0.021,-0.012,-1.049,4.654,-1.221,-0.839
37030.239,0.023,-0.014,-1.044,4.670,-1.221,-1.068
37030.246,0.019,-0.014,-1.044,4.578,-1.251,-0.885
37030.253,0.020,-0.016,-1.047,4.486,-1.175,-0.977
37030.260,0.016,-0.013,-1.051,4.654,-1.190,-0.794
37030.283,0.017,-0.011,-1.045,4.761,-1.206,-0.931
37030.290,0.015,-0.011,-1.046,4.532,-1.267,-0.900
37030.297,0.021,-0.012,-1.049,4.639,-1.114,-0.885
37030.304,0.021,-0.014,-1.042,4.578,-1.358,-0.885
37030.312,0.019,-0.011,-1.046,4.502,-1.328,-1.007
37030.319,0.021,-0.016,-1.060,4.593,-1.267,-0.855
37030.326,0.022,-0.014,-1.048,4.471,-1.373,-0.916
37030.333,0.018,-0.013,-1.052,4.639,-1.236,-1.114
37030.341,0.016,-0.013,-1.045,4.502,-1.297,-0.855
37030.348,0.020,-0.011,-1.051,4.593,-1.343,-0.824
37030.355,0.018,-0.013,-1.039,4.609,-1.175,-0.870
37030.362,0.019,-0.011,-1.043,4.654,-1.404,-0.839
37030.369,0.020,-0.011,-1.051,4.593,-1.206,-0.931
37030.377,0.020,-0.015,-1.045,4.685,-1.312,-0.977
37030.384,0.021,-0.010,-1.045,4.532,-1.236,-0.946
37030.391,0.019,-0.012,-1.044,4.364,-1.221,-0.946
37030.398,0.019,-0.011,-1.043,4.578,-1.343,-0.839
37030.405,0.022,-0.010,-1.046,4.593,-1.328,-0.900
37030.412,0.018,-0.014,-1.043,4.624,-1.297,-1.007
37030.420,0.022,-0.012,-1.052,4.547,-1.267,-0.992
37030.427,0.023,-0.014,-1.045,4.654,-1.282,-0.870
37030.434,0.019,-0.009,-1.048,4.639,-1.297,-0.961
37030.441,0.020,-0.013,-1.048,4.532,-1.145,-1.083
37030.449,0.018,-0.013,-1.051,4.609,-1.297,-1.007
37030.456,0.022,-0.008,-1.050,4.654,-1.236,-0.885
37030.463,0.020,-0.011,-1.043,4.486,-1.267,-0.839
37030.470,0.018,-0.017,-1.045,4.639,-1.312,-0.992
37030.477,0.017,-0.013,-1.040,4.715,-1.328,-0.946
37030.485,0.022,-0.013,-1.051,4.593,-1.083,-0.900
37030.492,0.019,-0.015,-1.045,4.532,-1.160,-1.053
37030.499,0.021,-0.015,-1.044,4.578,-1.465,-0.794
37030.506,0.020,-0.012,-1.047,4.654,-1.206,-0.992
37030.513,0.020,-0.012,-1.054,4.578,-1.221,-0.961
37030.521,0.019,-0.013,-1.053,4.685,-1.175,-0.946
37030.528,0.017,-0.010,-1.047,4.624,-1.190,-0.839
37030.535,0.020,-0.011,-1.051,4.654,-1.099,-0.977
37030.542,0.024,-0.010,-1.048,4.593,-1.328,-0.992
37030.549,0.016,-0.011,-1.045,4.593,-1.282,-0.870
37030.556,0.021,-0.011,-1.046,4.670,-1.206,-0.946
37030.564,0.019,-0.006,-1.048,4.532,-1.358,-0.916
37030.571,0.016,-0.012,-1.047,4.593,-1.236,-1.022
37030.578,0.016,-0.015,-1.054,4.654,-1.251,-1.038
37030.634,0.020,-0.014,-1.053,4.654,-1.282,-0.946
37030.641,0.021,-0.015,-1.053,4.563,-1.206,-0.946
37030.649,0.020,-0.013,-1.047,4.609,-1.206,-0.870
37030.656,0.021,-0.012,-1.047,4.624,-1.221,-0.870
37030.663,0.018,-0.012,-1.049,4.670,-1.236,-0.977
37030.670,0.017,-0.008,-1.046,4.715,-1.282,-1.022
37030.677,0.017,-0.015,-1.047,4.624,-1.190,-0.946
37030.685,0.017,-0.011,-1.047,4.593,-1.236,-0.900
37030.692,0.022,-0.009,-1.045,4.593,-1.114,-0.931
37030.699,0.019,-0.015,-1.052,4.609,-1.267,-0.900
